Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish

noteDuke01Desc,items,Quest - Note,,,Welcome To FarmLife. Youll find many items added so you have improved inventory space. -War3zuk,,,,,,,,"Witamy w FarmLife. Znajdziesz tu wiele nowych przedmiotów, które zwiększą pojemność twojego ekwipunku. -War3zuk",,,,,,

tutorialTipQuest01_title,Journal Tip,,,,Welcome to War3zuk FarmLife,,,,,,,,Witamy w War3zuk FarmLife,,,,,,
tutorialTipQuest01,Journal Tip,,,,"transforms basic survival food mechanics into an in-depth system with dozens of new crops (e.g., barley, beets, peppers, 35+ veggie plants), seeds, fruits/berries, animal husbandry (breeding livestock like horses, cows for meat/milk), multi-step cooking recipes (cheeses, pizzas, meats, baked goods, booze), and specialized workstations (e.g., cheese press, incubator, mixing cask, farm table).",,,,,,,,"przekształca podstawową mechanikę zdobywania pożywienia w rozbudowany system z dziesiątkami nowych upraw (np. jęczmień, buraki, papryka, ponad 35 roślin warzywnych), nasionami, owocami/jagodami, hodowlą zwierząt (np. konie, krowy na mięso/mleko), wieloetapowymi przepisami kulinarnymi (sery, pizze, mięsa, wypieki, alkohole) i specjalistycznymi stacjami roboczymi (np. prasa do sera, inkubator, beczka do mieszania, stół rolniczy).",,,,,,

tutorialTipQuest02_title,Journal Tip,,,,War3zuk FarmLife Info,,,,,,,,Informacje o War3zuk FarmLife,,,,,,
tutorialTipQuest02,Journal Tip,,,,"Greetings Zombie Slayer,This is War3zuk the mod author speaking..\n\nYou are currently using the FarmLife 105 inventory slots UI, You start the game with 15 slots and will be granted a further 15 when you max out the perk, Pack Mule, giving you a total of 30 usable inventory slots.\n\nThe only way to add the other 75 slots is to find and use the HD Ruck Sack Addons which are found in Army trucks and are then added to Armor pieces granting 19 extra slots each, -War3zuk",,,,,,,,"Witaj Zabójco Zombie, tu War3zuk, twórca tego moda...\n\nObecnie używasz interfejsu FarmLife ze 105 miejscami w ekwipunku. Zaczynasz grę z 15 miejscami i otrzymasz kolejne 15, gdy wymaksujesz umiejętność Muł Juczny, co da ci w sumie 30 użytecznych miejsc.\n\nJedynym sposobem na dodanie pozostałych 75 miejsc jest znalezienie i użycie dodatków HD Ruck Sack, które można znaleźć w wojskowych ciężarówkach, a następnie dodanie ich do elementów pancerza. Każdy z nich zapewnia 19 dodatkowych miejsc. -War3zuk",,,,,,

quest_WhiteRiverCitizen1_description,Quest,Quest Info,,,"Good job on completing the basics,\n\nYou can now head towards the Trader.\n\nWelcome Aboard Player, War3zuk",,,,,,,,"Dobra robota, podstawy za tobą,\n\nMożesz teraz udać się do Handlarza.\n\nWitaj na pokładzie, War3zuk",,,,,,
